URL,Size(kB),No of Outlinks,Content Type
https://www.nytimes.com/2020/12/03/well/family/teenagers-downtime-free-time-choices.html,345,47,text/html
https://www.nytimes.com/2021/09/20/dining/restaurant-wages.html,454,72,text/html
https://www.nytimes.com/2021/09/20/nyregion/allen-weisselberg-trump-organization.html,331,45,text/html
https://www.nytimes.com/2021/09/19/opinion/supply-side-progressivism.html,428,59,text/html
https://www.nytimes.com/puzzles/tiles,361,40,text/html
https://www.nytimes.com/2021/09/20/nyregion/r-kelly-trial.html,362,68,text/html
https://www.nytimes.com/2021/09/20/world/europe/shooting-russian-university-perm.html,367,47,text/html
https://www.nytimes.com/wirecutter/guides/portable-washing-machine-small-apartment/,154,202,text/html
https://www.nytimes.com/2021/09/20/climate/extreme-heat-workplace-rules.html,350,56,text/html
https://www.nytimes.com/section/business,831,110,text/html
https://www.nytimes.com/2021/05/05/parenting/influencers-social-media-relationships.html,311,53,text/html
https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker.html,1024,1416,text/html
https://www.nytimes.com/es/,956,152,text/html
https://www.nytimes.com/2021/09/19/opinion/covid-vaccine-booster-shots-africa.html,369,78,text/html
https://www.nytimes.com/crosswords,68,48,text/html
https://www.nytimes.com/2021/09/20/travel/lost-tribe-jews-india-myanmar.html,469,50,text/html
https://www.nytimes.com/section/todayspaper,857,77,text/html
https://www.nytimes.com/vi-assets/static-assets/favicon-d2483f10ef688e6f89e23806b9700298.ico,1,0,image/vnd.microsoft.icon
https://www.nytimes.com/2021/09/20/world/asia/afghan-girls-schools-taliban.html,508,64,text/html
https://www.nytimes.com/2021/09/19/sports/football/nfl-week-2-scores.html,595,59,text/html
https://www.nytimes.com/2021/09/19/us/gabby-petito-body-brian-laundrie.html,405,53,text/html
https://www.nytimes.com/2021/09/20/health/covid-children-vaccine-pfizer.html,458,72,text/html
https://www.nytimes.com/2021/09/20/opinion/trump-rally-washington.html,486,57,text/html
https://www.nytimes.com/2021/09/17/arts/music/parquet-courts-remi-wolf-illuminati-hotties.html,335,46,text/html
https://www.nytimes.com/section/t-magazine,639,124,text/html
https://www.nytimes.com/subscription/games,23,13,text/html
https://www.nytimes.com/2021/09/20/us/politics/medicare-health-care-poor-budget-bill.html,415,52,text/html
https://www.nytimes.com/section/sports,719,115,text/html
https://www.nytimes.com/section/travel,677,102,text/html
https://www.nytimes.com/2021/09/20/opinion/texas-abortion-provider.html,311,48,text/html
https://www.nytimes.com/section/magazine,407,80,text/html
https://www.nytimes.com/2021/09/20/opinion/AUKUS-australia-us-china.html,342,73,text/html
https://www.nytimes.com/interactive/2021/us/covid-cases-deaths-tracker.html,589,183,text/html
https://www.nytimes.com/ca/?action=click&region=Footer&pgtype=Homepage,1024,208,text/html
https://www.nytimes.com/2021/09/20/opinion/afghanistan-experts-expertise.html,327,60,text/html
https://www.nytimes.com/section/food,731,97,text/html
https://www.nytimes.com/section/style,662,89,text/html
https://www.nytimes.com/2021/09/17/books/review/podcast-colson-whitehead-harlem-shuffle-colm-toibin-magician.html,368,86,text/html
https://www.nytimes.com/2021/09/20/sports/peyton-eli-manning-alternate-feed-espn.html,378,51,text/html
https://www.nytimes.com/live/2021/09/20/us/politics-news?type=styln-live-updates&label=politics%20updates&index=0,611,79,text/html
https://www.nytimes.com/newsletters/jay-caspian-kang,90,36,text/html
https://www.nytimes.com/2021/09/09/us/politics/biden-infrastructure-plan.html,389,62,text/html
https://www.nytimes.com/live/2021/09/20/us/politics-news,611,78,text/html
https://www.nytimes.com/2021/09/15/us/politics/biden-australia-britain-china.html,374,54,text/html
https://www.nytimes.com/by/zolan-kanno-youngs,683,57,text/html
https://www.nytimes.com/2021/09/09/us/politics/biden-vaccine-plan-highlights.html,423,72,text/html
https://www.nytimes.com/2021/06/01/business/rural-urban-broadband-biden.html?action=click&pgtype=Article&state=default&module=styln-stimulus-biden&region=MAIN_CONTENT_1&context=STYLN_TOP_LINKS_recirc,457,66,text/html
https://www.nytimes.com/spotlight/joe-biden,756,100,text/html
https://www.nytimes.com/interactive/2021/07/28/upshot/infrastructure-breakdown.html?action=click&pgtype=Article&state=default&module=styln-stimulus-biden&region=MAIN_CONTENT_1&context=STYLN_TOP_LINKS_recirc,200,55,text/html
https://www.nytimes.com/2021/08/10/us/politics/senate-infrastructure-bill.html?action=click&pgtype=Article&state=default&module=styln-stimulus-biden&region=MAIN_CONTENT_1&context=STYLN_TOP_LINKS_recirc,438,54,text/html
https://www.nytimes.com/2020/07/08/world/europe/couples-separated-eu-travel-ban.html,441,55,text/html
https://www.nytimes.com/by/mark-landler,451,57,text/html
https://www.nytimes.com/2021/05/17/us/politics/india-travel-restrictions.html,401,59,text/html
https://www.nytimes.com/live/2021/09/20/world/covid-delta-variant-vaccine?action=click&pgtype=Article&module&state=default&region=header&context=breakout_link_back_to_briefing,952,119,text/html
https://www.nytimes.com/wirecutter/health-fitness/wearables/,129,202,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/food/,212,247,text/html
https://www.nytimes.com/wirecutter/reviews/best-air-purifier/,729,335,text/html
https://www.nytimes.com/wirecutter/office/home-office/,233,256,text/html
https://www.nytimes.com/wirecutter/appliances/,194,242,text/html
https://www.nytimes.com/wirecutter/appliances/small/,218,268,text/html
https://www.nytimes.com/wirecutter/outdoors/gear/,233,272,text/html
https://www.nytimes.com/wirecutter/home-garden/gardening/,209,248,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/wine-bar/,125,204,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/,308,304,text/html
https://www.nytimes.com/wirecutter/travel/,191,247,text/html
https://www.nytimes.com/wirecutter/reviews/best-bug-repellent/,492,308,text/html
https://www.nytimes.com/wirecutter/office/,205,242,text/html
https://www.nytimes.com/wirecutter/pets/cats/,157,230,text/html
https://www.nytimes.com/wirecutter/lists/bug-control-gear-that-actually-works/,171,235,text/html
https://www.nytimes.com/wirecutter/pets/,188,244,text/html
https://www.nytimes.com/wirecutter/electronics/storage-devices/,122,203,text/html
https://www.nytimes.com/wirecutter/baby-kid/baby/,205,276,text/html
https://www.nytimes.com/wirecutter/home-garden/smart-home/,248,262,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/entertaining/,197,256,text/html
https://www.nytimes.com/wirecutter/electronics/projectors/,120,200,text/html
https://www.nytimes.com/wirecutter/appliances/large/,171,243,text/html
https://www.nytimes.com/wirecutter/outdoors/snow/,105,197,text/html
https://www.nytimes.com/wirecutter/electronics/accessories/,247,270,text/html
https://www.nytimes.com/wirecutter/blog/,118,193,text/html
https://www.nytimes.com/wirecutter/contact-us/,75,174,text/html
https://www.nytimes.com/wirecutter/gifts/best-gifts-for-dad/,380,294,text/html
https://www.nytimes.com/wirecutter/electronics/headphones/,197,246,text/html
https://www.nytimes.com/wirecutter/reviews/,105,198,text/html
https://www.nytimes.com/wirecutter/reviews/best-cordless-stick-vacuum/,673,324,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/large-appliances/,133,215,text/html
https://www.nytimes.com/wirecutter/reviews/best-compost-bins/,180,217,text/html
https://www.nytimes.com/wirecutter/52-things-we-love/,170,215,text/html
https://www.nytimes.com/wirecutter/reviews/best-air-fryer/,363,277,text/html
https://www.nytimes.com/wirecutter/sleep/advice/,184,232,text/html
https://www.nytimes.com/wirecutter/money/managing-money/,188,250,text/html
https://www.nytimes.com/wirecutter/home-garden/bedroom/,224,263,text/html
https://www.nytimes.com/2021/02/18/podcasts/the-daily/hotel-rwanda-paul-rusesabagina-trial.html,960,89,text/html
https://www.nytimes.com/2021/02/16/world/africa/rwanda-paul-rusesabagina-trial.html,428,53,text/html
https://www.nytimes.com/2020/09/17/world/africa/paul-rusesabagina-rwanda-interview.html,362,51,text/html
https://www.nytimes.com/by/abdi-latif-dahir,309,55,text/html
https://www.nytimes.com/2019/04/06/world/africa/rwanda-genocide-25-years.html,478,61,text/html
https://www.nytimes.com/2020/08/31/world/africa/paul-rusesabagina-hotel-rwanda-arrest.html,352,62,text/html
